Experiment #,Group,Animal ID#,Immunization time (days),WNV DIII Vaccine (µg),Adjuvant 1 MP7-OH (µg),Adjuvant 2 CpG (µg),Total Protein-PS g/dl (5.0-8.5),TBIL-PS mg/dl (0.2-0.7),ALB-PS g/dl (3.0-3.4),TCHO-PS mg/dl (22-70),IP-PS mg/dl (5.6-9.2),Ca-PS mg/dl (13.0-15.0),CRE-PS mg/dl (0.8-2.9),GGT-PS U/l (0-0),GLU-PS mg/dl (85-145),BUN-PS mg/dl (14.0-23.0),ALT-PS U/l (0-100),ALP-PS U/l (0-120),BUN-CRE Ratio 
2,1,S2415,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,1,S2415,28,45,0,0,4.9,0.3,5.4,50,5.2,12.7,0.9,17,112,21.1,33,80,NO DATA
2,1,S2415,42,45,0,0,4.9,0.3,5.3,50,4.4,12.9,0.9,15,105,19.2,31,66,21.3
2,1,S2416,0,0,0,0,5.6,0.1,6,87,8.5,13.6,1.2,16,118,18.3,24,99,15.3
2,1,S2416,28,45,0,0,4.7,0.2,5.2,54,5.5,12.9,1,16,124,22.2,21,79,NO DATA
2,1,S2416,42,45,0,0,4.9,0.3,5.3,53,4.9,12.5,0.9,16,126,18.9,27,51,21
2,1,S2424,0,0,0,0,3.8,0.2,4.3,50,7.2,9.7,1,12,93,12.9,18,93,12.9
2,1,S2424,28,45,0,0,4.5,0.4,5.2,50,5.8,13,1,13,116,18,24,112,NO DATA
2,1,S2424,42,45,0,0,4.6,0.5,5.1,50,4.5,12.8,0.9,14,105,15.1,18,75,16.8
2,1,S2427,0,0,0,0,3,0.1,3.3,50,5.4,7.1,0.8,15,89,11.6,22,33,14.5
2,1,S2427,28,45,0,0,4.5,0.3,5.1,50,5.3,12.9,1,19,98,15.1,52,39,NO DATA
2,1,S2427,42,45,0,0,4.8,0.4,5.3,50,4.1,12.9,0.9,16,99,15.8,32,34,17.6
2,2,S2413,0,0,0,0,4,0.1,4.4,50,5.5,10.8,1,13,90,17.2,14,106,17.2
2,2,S2413,28,45,150,0,4.9,0.3,5.6,50,3.8,13.1,0.9,14,138,19.8,24,91,NO DATA
2,2,S2413,42,45,150,0,4.9,0.2,5.6,50,3.8,12.9,1,13,120,17.2,22,66,17.2
2,2,S2414,0,0,0,0,6.5,0.1,6,81,6,15.3,0.8,17,109,16.4,40,109,20.5
2,2,S2414,28,45,150,0,5.1,0.3,6,59,3.6,13.9,0.9,13,133,21.8,31,80,NO DATA
2,2,S2414,42,45,150,0,5.2,0.3,5.8,57,3.7,13.5,1,12,123,20.7,26,55,20.7
2,2,S2423,0,0,0,0,4,0.1,4.4,50,5.9,11,0.8,11,109,14.3,31,74,17.9
2,2,S2423,28,45,150,0,4.8,0.1,5.4,50,5.2,13.5,0.7,12,142,28,52,65,NO DATA
2,2,S2423,42,45,150,0,5.3,0.3,5.8,50,3.9,13,0.7,15,109,23.6,38,65,33.7
2,2,S2425,0,0,0,0,6.5,0.2,6,75,7.5,14.1,1,21,118,18.5,40,233,18.5
2,2,S2425,28,45,150,0,4.7,0.3,5.3,50,5,12.8,0.9,17,125,23,29,172,NO DATA
2,2,S2425,42,45,150,0,4.5,0.3,5,50,4.1,12.3,0.9,16,116,20.7,25,94,23
2,3,S2417,0,0,0,0,4.5,0.1,5.3,50,6.3,12.4,0.8,15,101,16.6,27,92,20.8
2,3,S2417,28,45,42.6,0,4.6,0.3,5.3,50,6.4,12.7,1,14,178,20.1,34,86,NO DATA
2,3,S2417,42,45,42.6,0,4.7,0.3,5.3,50,4.7,13.2,0.8,14,111,18.7,36,63,23.4
2,3,S2418,0,0,0,0,5.3,0.2,5.6,52,6.6,13.8,0.9,13,98,13,33,114,14.4
2,3,S2418,28,45,42.6,0,4.8,0.3,5.5,50,5.2,13.4,0.8,13,134,21.8,31,99,NO DATA
2,3,S2418,42,45,42.6,0,4.7,0.3,5.1,50,4.3,12.7,0.8,13,147,17.5,29,67,21.9
2,3,S2429,0,0,0,0,5,0.2,5.8,59,7.8,11.3,1,13,149,13.9,42,77,13.9
