Experiment #,Group,Animal ID#,Immunization time (days),WNV DIII Vaccine (痢),Adjuvant 1 MP7-OH (痢),Adjuvant 2 CpG (痢),WBC (*1000/無),NUET CTs (*1000/無),NEU%,LYM CTs (*1000/無),LYM%,MONO CTs (*1000/無),MONO%,EOS CTs (*1000/無),EOS%,BASO CTs (*1000/無),BASO%,RBC (*10^6/無),HGB (g/dL),HCT %,MCV (fL),MCH (pg),MCHC (g/dL),RDW %,PLT (*1000/無),MPV (fL)
2,1,S2415,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,1,S2415,28,45,0,0,5.69,0.513,9.01,4.7,82.7,0.408,7.17,0.009,0.155,0.057,1.01,6.6,12.9,40.7,61.7,19.6,31.8,15.9,324,6.3
2,1,S2415,42,45,0,0,4.8,0.378,7.88,3.91,81.4,0.469,9.77,0,0,0.046,0.968,6.45,12.7,39.7,61.6,19.7,32,17,372,5.29
2,1,S2416,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,1,S2416,28,45,0,0,6.95,0.899,12.9,5.42,78.1,0.554,7.97,0,0,0.069,0.999,5.96,12.3,37.4,62.8,20.6,32.8,14.6,398,5.03
2,1,S2416,42,45,0,0,6.96,0.722,10.4,5.72,82.2,0.483,6.94,0,0,0.035,0.506,6.3,12.8,39.8,63.3,20.3,32.1,16.3,458,5.29
2,1,S2424,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,1,S2424,28,45,0,0,4.71,0.555,11.8,3.97,84.2,0.189,4.02,0,0,0.002,0.047,6.24,12.8,39.7,63.6,20.6,32.3,16.3,559,4.91
2,1,S2424,42,45,0,0,3.02,0.667,22.1,1.78,58.9,0.545,18,0,0,0.028,0.94,5.99,12.3,38.6,64.5,20.5,31.8,16.9,498,4.99
2,1,S2427,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,1,S2427,28,45,0,0,6.55,1.5,22.9,3.91,59.7,0.975,14.9,0,0,0.163,2.48,6.34,12.9,41,64.7,20.4,31.5,16.1,419,4.44
2,1,S2427,42,45,0,0,5.11,1.23,24,3,58.7,0.83,16.2,0,0,0.055,1.07,6.51,13.5,42.3,65,20.8,32,16.2,407,4.48
2,2,S2413,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,2,S2413,28,45,150,0,5.41,1.04,19.2,3.54,65.4,0.745,13.8,0,0,0.09,1.67,6.9,13.2,42,60.8,19.1,31.4,16.1,467,5.07
2,2,S2413,42,45,150,0,4,1.04,26,2.3,57.6,0.597,14.9,0,0,0.058,1.45,6.9,13.5,42.2,61.2,19.6,32.1,16.5,427,5.04
2,2,S2414,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,2,S2414,28,45,150,0,5.47,1.21,22.2,3.76,68.8,0.438,8.02,0,0,0.051,0.935,6.41,11.9,37.7,58.8,18.5,31.5,17.5,423,5.67
2,2,S2414,42,45,150,0,5.61,1.24,22.1,3.68,65.6,0.624,11.1,0.03,0.058,0.064,1.14,6.6,12.4,39.4,59.8,18.8,31.4,18.1,445,5.62
2,2,S2423,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,2,S2423,28,45,150,0,5.14,1.23,23.9,3.34,64.9,0.526,10.2,0,0,0.053,1.02,5.91,11.6,35.8,60.7,19.6,32.3,17.4,492,4.75
2,2,S2423,42,45,150,0,3.89,1.09,28.1,2.28,58.6,0.491,12.6,0,0,0.026,0.681,6.59,12.9,40.2,61,19.5,31.9,17.5,497,4.46
2,2,S2425,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,2,S2425,28,45,150,0,3.47,1.09,31.3,1.75,50.3,0.52,15,0,0,0.117,3.38,6.82,12.4,40,58.6,18.2,31,18,490,4.96
2,2,S2425,42,45,150,0,2.94,1.02,34.5,1.05,35.6,0.779,26.5,0,0,0.101,3.44,6.52,12.1,38.3,58.8,18.6,31.7,17.3,427,5.04
2,3,S2417,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,3,S2417,28,45,42.6,0,6.74,1.01,15,4.96,73.7,0.714,10.6,0,0,0.047,0.703,6.15,12.4,39,63.4,20.1,31.8,16,508,6.04
2,3,S2417,42,45,42.6,0,7.94,1.21,15.2,6.16,77.6,0.523,6.59,0,0,0.051,0.637,6.03,12,38.3,63.4,19.8,31.3,16.7,443,5.54
2,3,S2418,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,3,S2418,28,45,42.6,0,4.9,0.781,15.9,3.59,73.2,0.482,9.84,0,0,0.048,0.97,6.47,12.4,38.7,59.9,19.1,31.9,16.9,409,5.3
2,3,S2418,42,45,42.6,0,2.21,0.715,32.3,0.799,36.1,0.668,30.2,0,0,0.033,1.48,5.95,11.5,36.1,60.6,19.3,31.8,17.7,370,5.38
2,3,S2429,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,3,S2429,28,45,42.6,0,3.36,0.644,19.2,2.38,70.8,0.31,9.23,0,0,0.026,0.783,6.03,12.2,38.8,64.4,20.2,31.3,15,588,4.83
2,3,S2429,42,45,42.6,0,4.3,0.7,15.6,3.2,74.8,0.4,9.5,0,0,0,0.2,6.2,12.6,40.3,64.5,20.2,31.3,15.7,579,4.86
2,3,S2430,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,3,S2430,28,45,42.6,0,6.3,0.9,14.7,5,79.8,0.3,5,0,0,0,0.5,6,12.2,37.8,62.9,20.2,32.2,14.7,322,5.38
2,3,S2430,42,45,42.6,0,6.4,1,16.2,4.9,76.3,0.5,7.3,0,0,0,0.3,6.3,12.5,39.4,62.5,19.8,31.7,15.4,337,5
2,4,S2421,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,4,S2421,28,45,0,60,7.3,1,13.4,5.6,76.5,0.7,9.2,0,0,0.1,1,6.5,13.5,40.8,62.9,20.8,33,16.1,403,5.12
2,4,S2421,42,45,0,60,8.6,1.8,21.6,6.1,70.7,0.6,6.8,0,0,0.1,0.9,6.5,13.6,41.2,63.2,20.8,33,14.7,367,5.08
